epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16877.6,0.40748,0.83734,0.89598,0.39846,0.90591,0.3796,0.36525,0.27078,1.24076,0.87354,0.005842,0.005842,0.005842
44,17269.4,0.40287,0.83796,0.89606,0.39895,0.90589,0.38162,0.36847,0.26493,1.24258,0.87531,0.005743,0.005743,0.005743
45,17660.6,0.40014,0.83256,0.89385,0.39864,0.90764,0.38103,0.36894,0.25497,1.24319,0.86544,0.005644,0.005644,0.005644
46,18051.8,0.39827,0.83559,0.89403,0.39958,0.90802,0.38142,0.36662,0.27367,1.22456,0.87718,0.005545,0.005545,0.005545
47,18441.9,0.3955,0.83263,0.89089,0.39975,0.90869,0.38224,0.37039,0.25985,1.23955,0.86358,0.005446,0.005446,0.005446
48,18833.1,0.39422,0.83559,0.89311,0.39935,0.90845,0.38202,0.37044,0.25722,1.23459,0.86666,0.005347,0.005347,0.005347
49,19223.9,0.38995,0.83083,0.89158,0.40002,0.90924,0.38247,0.37095,0.25169,1.21584,0.86299,0.005248,0.005248,0.005248
50,19615.4,0.38751,0.8297,0.89014,0.40007,0.90926,0.3822,0.37211,0.24551,1.20755,0.8602,0.005149,0.005149,0.005149
51,20006.8,0.38502,0.82759,0.88818,0.39996,0.90907,0.38243,0.37159,0.24482,1.22118,0.86259,0.00505,0.00505,0.00505
52,20397.9,0.3802,0.82355,0.88515,0.3998,0.91022,0.38182,0.37148,0.24267,1.22445,0.85851,0.004951,0.004951,0.004951
53,20788.7,0.37948,0.82629,0.88735,0.39997,0.91125,0.38273,0.37144,0.24438,1.20204,0.8631,0.004852,0.004852,0.004852
54,21179.4,0.37822,0.82839,0.88828,0.40053,0.91119,0.38363,0.3725,0.24364,1.20142,0.85699,0.004753,0.004753,0.004753
55,21570.3,0.37928,0.83346,0.88969,0.401,0.91315,0.38347,0.3736,0.23544,1.20248,0.85339,0.004654,0.004654,0.004654
56,21960.8,0.3726,0.82499,0.88533,0.40173,0.91341,0.3855,0.37564,0.22883,1.18768,0.8492,0.004555,0.004555,0.004555
57,22351.8,0.36993,0.82735,0.88475,0.40171,0.91301,0.38468,0.37412,0.23755,1.19273,0.85463,0.004456,0.004456,0.004456
58,22742.3,0.36637,0.81804,0.88076,0.40193,0.91385,0.38598,0.37583,0.2343,1.19008,0.8503,0.004357,0.004357,0.004357
59,23133,0.3689,0.82075,0.88243,0.40169,0.91353,0.38476,0.37538,0.22879,1.19118,0.85118,0.004258,0.004258,0.004258
60,23523.6,0.36366,0.82176,0.88193,0.40204,0.91387,0.38467,0.37521,0.22577,1.18144,0.84808,0.004159,0.004159,0.004159
61,23914.4,0.3614,0.81424,0.87908,0.40194,0.91374,0.38544,0.37694,0.21883,1.17984,0.8437,0.00406,0.00406,0.00406
62,24305.6,0.35862,0.81117,0.87754,0.40193,0.91321,0.38517,0.37642,0.22397,1.18746,0.8455,0.003961,0.003961,0.003961
63,24696.8,0.35516,0.81767,0.87817,0.40217,0.91363,0.38551,0.37664,0.22616,1.19363,0.84533,0.003862,0.003862,0.003862
64,25082.3,0.35123,0.81227,0.87581,0.40199,0.91293,0.38572,0.37683,0.22659,1.18658,0.84394,0.003763,0.003763,0.003763
65,25474.1,0.35113,0.81109,0.87627,0.402,0.91309,0.38565,0.37765,0.21689,1.1933,0.83928,0.003664,0.003664,0.003664
66,25865.3,0.34872,0.80769,0.87407,0.40203,0.91328,0.38553,0.37774,0.21435,1.19793,0.83811,0.003565,0.003565,0.003565
67,26257.7,0.35052,0.8167,0.87531,0.40187,0.91291,0.38538,0.37754,0.21515,1.19094,0.83824,0.003466,0.003466,0.003466
68,26648.1,0.34502,0.80304,0.87227,0.40208,0.91339,0.38596,0.37813,0.21162,1.19795,0.83653,0.003367,0.003367,0.003367
69,27039,0.34504,0.8144,0.87482,0.40214,0.91345,0.38644,0.37875,0.21035,1.1879,0.83602,0.003268,0.003268,0.003268
70,27430.4,0.34031,0.80648,0.87323,0.40223,0.9134,0.38639,0.37911,0.20565,1.18335,0.83503,0.003169,0.003169,0.003169
71,27821.7,0.34085,0.81014,0.87435,0.40214,0.91326,0.38634,0.3789,inf,1.18548,0.83534,0.00307,0.00307,0.00307
72,28212.6,0.33715,0.80577,0.87125,0.40218,0.91351,0.38671,0.37943,0.20366,1.18221,0.83269,0.002971,0.002971,0.002971
73,28603.2,0.33498,0.80596,0.87095,0.40238,0.91382,0.38693,0.37983,0.20234,1.1765,0.83176,0.002872,0.002872,0.002872
74,28994,0.33216,0.79495,0.86808,0.40241,0.91375,0.38667,0.37956,0.20247,1.18141,0.83113,0.002773,0.002773,0.002773
75,29384.2,0.32508,0.79289,0.86473,0.40253,0.914,0.3869,0.3798,0.20256,1.17996,0.83105,0.002674,0.002674,0.002674
